SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC70110,0,39,7,46,3,125,8,144,3,59,3,63,3,57,4,63,0,68,11,77,0,119,13,135,0,155,16,174,3,96,8,113,7,42,3,54,5,3,0,6,0,0,0,0,26,777,71,868,0,53,6,58,3,115,14,130,0,50,3,58,4,28,0,33,0,68,8,74,0,142,11,154,0,142,15,154,3,72,6,77,0,22,0,21,0,6,0,5,0,0,0,0,11,697,60,770,0,93,8,104,7,239,25,269,6,112,7,123,3,85,3,90,0,138,11,155,3,266,22,294,3,291,23,321,8,168,16,188,10,69,6,80,4,6,0,13,0,0,0,0,38,1471,130,1641
SSC70111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70112,0,119,25,147,8,203,33,248,3,89,21,109,0,90,14,105,4,221,31,255,0,204,24,228,7,210,29,247,8,136,26,173,15,63,12,89,11,23,4,34,3,0,0,11,68,1359,221,1646,0,123,27,150,3,200,39,240,0,81,13,105,0,94,20,109,4,235,38,281,9,215,39,266,9,164,23,200,15,119,25,163,12,64,15,90,14,16,0,25,6,3,3,12,69,1316,254,1635,0,238,54,297,12,400,75,491,7,170,31,213,0,187,30,217,8,464,72,540,8,419,61,492,14,370,58,446,22,257,47,329,26,125,24,180,20,36,4,65,10,8,9,25,140,2674,470,3288
SSC70113,0,3,0,4,0,9,0,9,0,8,0,5,0,4,0,4,0,4,0,4,0,6,0,7,0,3,0,3,0,4,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,39,5,44,0,5,0,5,0,3,0,4,0,3,0,3,0,3,0,4,0,3,4,6,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,31,0,7,0,9,0,10,0,12,0,5,0,12,0,6,0,5,0,8,3,12,0,9,0,11,0,4,0,8,0,6,0,6,0,0,0,3,0,0,0,0,0,0,0,0,4,59,9,75
SSC70114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
SSC70115,0,50,4,52,0,67,3,70,0,58,3,62,0,48,0,49,4,78,13,98,3,66,12,80,0,46,31,78,3,26,9,40,3,6,0,8,0,0,0,0,0,0,0,0,17,450,74,537,0,48,0,55,0,70,3,69,0,63,0,63,3,46,6,50,0,94,10,109,3,78,14,91,9,58,36,97,4,27,0,38,0,3,0,7,0,0,0,4,0,0,0,0,21,487,73,582,3,97,3,109,0,132,8,141,0,118,4,128,3,94,8,98,8,174,23,203,6,137,22,167,9,102,68,180,4,59,6,74,5,12,3,17,0,0,0,4,0,0,0,0,35,940,145,1116
SSC70116,0,152,6,160,5,162,9,177,0,63,4,75,0,95,3,104,3,238,12,252,0,213,19,238,4,164,12,181,4,92,9,107,6,23,0,31,3,6,0,12,0,3,0,3,35,1210,91,1329,0,112,4,118,0,220,3,223,0,74,10,86,0,95,0,94,0,245,11,256,3,204,22,226,0,149,12,160,7,103,9,117,0,32,4,35,6,7,0,11,0,0,0,0,15,1240,82,1333,0,261,18,280,7,380,16,401,0,138,15,159,4,191,10,201,3,482,22,510,4,418,39,460,3,311,24,333,13,199,18,227,6,58,4,65,4,17,0,24,0,3,0,3,52,2450,169,2664
SSC70117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC70118,0,12,0,12,0,13,0,14,0,11,0,12,0,6,0,9,0,25,0,25,0,15,0,14,0,3,0,8,3,10,0,17,0,5,0,5,0,0,0,0,0,0,0,0,8,100,10,115,0,11,0,11,0,20,0,20,0,12,0,12,0,15,0,15,0,28,0,26,0,13,0,13,3,9,0,11,0,5,0,7,0,3,0,3,0,0,0,0,0,0,0,0,3,119,0,123,0,24,0,24,0,37,0,33,0,24,0,23,0,22,0,25,0,51,0,55,0,27,0,26,3,16,0,15,8,21,0,27,0,10,0,9,0,0,0,0,0,0,0,0,11,220,8,240
SSC70119,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,3,0,3,0,5,0,5,0,3,0,3,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,17
SSC70120,0,6,0,8,0,19,0,18,0,13,0,13,0,0,0,0,0,14,0,13,0,6,3,8,0,9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,9,79,0,0,0,0,0,10,0,10,0,9,0,9,0,0,0,0,0,12,3,11,0,13,0,13,0,8,0,6,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,56,9,60,0,7,0,13,0,30,0,27,0,19,0,19,0,0,0,3,0,19,3,27,0,25,3,24,0,17,5,16,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,122,15,138
SSC70121,0,4,0,4,0,3,0,3,0,3,0,0,0,0,16,19,0,4,3,3,0,3,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,46,0,0,0,0,0,4,0,4,0,0,0,0,0,0,10,12,0,3,0,3,0,7,0,7,0,4,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,19,17,39,0,4,0,4,0,8,0,8,0,3,0,0,0,4,29,35,0,3,5,8,0,11,0,11,0,7,5,5,0,4,0,4,0,6,0,6,0,7,0,7,0,0,0,0,0,43,34,79
SSC70122,0,8,0,15,0,15,3,18,0,6,0,4,0,9,0,6,0,19,3,21,0,11,3,13,0,5,3,10,0,8,0,13,0,6,0,4,0,0,0,0,0,0,0,0,0,85,18,99,0,10,0,7,0,15,0,15,0,3,0,3,0,0,0,0,0,10,3,19,0,10,0,10,0,9,0,13,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,61,7,73,0,16,3,20,0,25,3,30,0,8,0,11,0,9,0,6,0,28,5,39,0,21,3,17,0,13,6,20,0,18,0,15,0,3,0,8,0,0,0,0,0,0,0,0,3,142,28,169
SSC70123,0,69,4,74,3,131,14,145,0,46,9,55,0,28,0,31,0,116,17,132,0,133,17,155,0,141,18,161,3,70,13,83,0,35,4,40,4,12,3,16,0,0,0,0,19,771,105,887,0,67,16,80,3,118,11,128,0,34,3,41,0,39,3,40,0,122,15,139,0,129,13,145,0,124,10,138,0,65,11,74,5,30,7,35,0,6,0,11,0,0,0,0,10,736,97,843,0,134,23,160,5,254,20,278,3,83,11,95,0,65,9,71,0,234,37,269,0,265,34,297,0,268,33,301,3,134,22,159,5,62,8,79,8,20,3,27,0,0,0,0,30,1505,197,1730
SSC70124,0,21,3,31,0,40,5,43,0,24,3,32,0,24,0,23,0,44,7,45,0,24,0,24,0,25,20,48,0,19,0,19,0,3,0,5,0,0,0,0,0,0,0,0,3,229,38,271,0,25,0,25,0,45,0,45,0,16,3,21,0,21,3,30,0,52,10,61,3,40,3,48,4,37,29,68,3,19,4,27,0,9,0,12,0,0,0,3,0,0,0,0,14,263,61,333,0,46,3,54,0,85,5,89,0,42,6,52,0,47,4,53,0,93,19,103,3,69,3,75,4,61,50,112,4,36,4,43,0,7,0,15,0,0,0,3,0,0,0,0,16,489,94,605
SSC70125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70127,0,9,4,13,3,6,4,11,0,64,26,87,0,264,155,426,0,156,344,497,0,44,232,268,0,36,148,180,0,16,46,66,0,7,4,17,0,0,0,3,0,0,0,0,7,604,951,1566,0,5,0,10,0,7,4,14,0,7,0,6,0,38,14,50,0,28,24,54,0,13,24,38,0,18,16,38,0,15,11,26,0,3,0,10,0,0,0,0,0,0,0,3,0,145,96,250,0,9,4,16,3,15,7,29,0,72,27,96,0,303,166,477,0,179,372,555,0,56,254,310,0,54,158,220,0,35,53,92,0,12,8,24,0,3,0,3,0,0,0,3,6,752,1054,1810
SSC70128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70129,0,59,7,70,6,195,27,232,3,91,16,120,0,120,57,172,3,415,370,791,3,419,343,765,11,429,263,712,14,323,129,460,9,149,35,198,5,43,5,52,7,7,3,11,67,2249,1254,3569,0,58,3,62,4,184,24,207,0,77,12,86,0,73,5,78,0,134,25,161,3,185,29,220,3,264,46,312,11,226,30,266,11,95,17,121,8,20,4,29,7,3,0,11,45,1325,193,1565,0,119,10,129,11,382,51,439,5,167,28,203,3,192,57,251,4,552,395,956,7,607,371,981,16,698,312,1022,19,552,160,731,24,247,51,321,13,57,5,79,10,8,3,21,109,3575,1444,5132
SSC70130,0,7,5,11,0,10,5,16,0,9,19,30,0,11,91,99,0,3,211,218,3,13,144,160,0,13,67,76,0,20,26,47,0,7,4,8,0,0,3,5,0,0,0,0,5,87,573,666,0,3,3,8,0,19,10,27,0,6,5,9,0,10,11,18,0,12,30,40,0,6,27,32,0,17,12,28,0,14,10,31,0,4,0,9,0,0,0,3,0,0,0,0,0,93,104,200,0,10,9,19,0,29,15,46,0,13,25,36,0,15,99,116,0,12,239,254,3,22,175,197,0,27,79,104,0,34,39,75,4,11,4,14,0,3,3,8,0,0,0,0,10,178,677,865
SSC70131,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,6,0,7,0,6,0,5,0,5,0,4,0,6,0,0,0,0,0,0,0,0,0,30,5,35,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,0,9,0,3,0,3,0,4,0,6,3,5,0,10,0,0,0,0,0,0,0,3,0,0,0,0,3,26,4,35,0,0,0,0,0,7,0,8,0,3,0,4,0,0,0,4,0,10,3,11,0,7,0,7,0,8,3,15,3,8,0,9,0,5,0,6,0,0,0,3,0,0,0,0,3,53,11,70
SSC70132,3,139,21,160,4,308,42,354,0,144,27,174,4,101,13,121,3,252,35,286,0,282,46,321,8,351,50,409,9,230,42,278,15,132,31,178,5,16,3,30,4,3,0,6,63,1947,303,2316,4,125,30,156,8,249,24,283,0,110,11,124,0,97,16,106,0,254,38,284,0,281,45,326,12,305,50,369,16,199,31,244,8,100,17,127,3,20,3,34,4,0,3,12,58,1736,272,2069,7,260,48,311,13,558,68,644,3,252,44,295,4,195,32,231,3,499,68,572,3,559,89,649,16,663,99,777,19,434,71,525,25,233,44,305,10,35,9,62,6,3,3,17,119,3687,574,4380
SSC70133,0,7,0,9,0,27,11,38,0,17,0,20,0,9,3,12,0,14,9,17,0,25,4,24,0,46,15,59,0,30,11,43,0,11,6,17,0,3,0,3,0,0,0,0,6,181,54,247,0,11,0,11,0,17,3,20,0,13,7,18,0,9,3,14,0,20,0,24,0,24,4,28,3,45,12,54,3,26,15,45,0,3,0,4,4,3,0,5,0,0,0,0,16,166,42,219,0,16,0,17,0,42,13,55,0,28,4,35,0,23,7,30,0,32,5,38,0,47,11,55,4,87,24,118,3,60,26,90,0,14,6,22,3,3,0,7,0,0,0,0,20,354,95,470
SSC70134,0,9,0,9,0,7,0,7,0,3,0,3,0,8,14,18,0,12,5,14,0,3,0,7,0,6,0,6,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,46,18,70,0,0,0,0,0,14,0,14,0,0,0,5,0,0,18,21,0,11,0,13,0,6,0,4,0,7,0,7,0,6,0,6,0,3,0,3,0,0,0,0,0,0,0,0,0,53,25,79,0,12,0,12,0,27,0,27,0,3,0,4,0,3,35,40,0,26,3,30,0,14,0,14,0,7,0,7,0,12,0,12,0,3,0,3,0,0,0,0,0,0,0,0,3,101,40,151
SSC70135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70136,0,41,10,56,6,64,15,79,0,20,8,27,0,24,13,38,0,66,15,86,0,88,16,110,0,81,28,110,0,50,13,65,0,4,5,14,0,4,0,4,0,0,0,0,11,447,122,577,0,46,12,53,0,54,6,63,0,12,3,17,0,16,11,28,0,87,22,102,0,74,7,86,3,58,27,86,0,30,9,41,3,3,5,19,0,0,0,3,0,0,0,0,5,393,101,500,0,83,21,109,6,120,19,145,0,33,10,41,0,44,19,65,0,155,32,188,0,169,28,194,3,136,51,195,0,77,25,107,3,12,14,27,0,9,0,6,0,0,0,0,15,833,227,1081
SSC70137,0,9,0,12,0,30,10,36,0,16,3,19,0,11,0,11,0,13,5,19,0,17,0,20,0,15,3,16,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,122,19,141,0,11,0,13,0,30,3,34,0,20,0,22,0,12,0,12,0,18,0,20,0,22,0,24,0,16,3,20,0,10,0,12,0,3,0,3,0,0,0,0,0,0,0,0,0,140,20,163,0,23,5,25,0,61,14,69,0,31,6,40,0,23,0,24,0,31,4,35,0,42,3,51,0,36,3,37,0,12,4,13,0,3,0,3,0,0,0,3,0,0,0,0,0,257,35,301
SSC70138,0,58,7,67,3,118,20,135,0,45,3,47,0,47,3,52,3,83,11,91,3,149,12,163,0,119,15,136,3,68,10,81,14,54,3,68,9,24,0,34,0,3,0,3,34,759,80,870,0,53,3,56,0,110,19,130,0,43,6,54,0,33,3,34,3,102,12,122,3,129,5,141,0,130,15,155,3,89,9,103,6,58,7,70,5,10,0,24,4,0,0,4,38,756,93,881,0,117,7,123,4,225,30,263,5,87,15,101,0,79,9,89,8,182,24,212,4,272,20,297,7,251,31,290,6,154,16,180,18,108,12,138,13,36,3,50,4,3,0,10,71,1516,172,1757
SSC70139,3,125,11,137,3,124,15,143,0,30,4,36,0,125,7,137,4,253,18,275,0,145,10,160,0,60,6,62,0,21,3,26,0,8,0,8,0,0,0,0,0,0,0,0,16,896,78,987,0,118,20,131,3,157,21,176,0,39,10,48,0,123,14,137,0,242,19,264,0,149,21,176,0,54,0,62,0,30,3,39,0,12,0,9,0,0,0,0,0,0,0,0,9,926,108,1037,3,238,25,266,3,281,33,318,0,71,10,85,3,250,19,274,5,503,39,546,3,296,32,330,3,113,4,123,0,52,7,63,0,17,0,24,0,0,0,0,0,0,0,0,26,1819,184,2027
SSC70140,0,4,0,11,0,24,3,26,0,13,0,15,0,13,3,19,0,25,3,29,0,28,3,29,0,24,3,31,0,7,3,12,3,0,0,3,0,0,0,0,0,0,0,0,3,143,22,169,0,3,0,4,0,17,3,24,0,13,0,12,0,11,0,15,0,26,9,33,0,15,3,15,0,19,3,22,0,10,0,11,0,7,0,9,0,0,0,0,0,0,0,0,0,115,29,140,0,12,3,14,0,40,5,44,0,28,3,26,0,29,3,31,0,48,15,62,0,37,3,39,0,44,8,57,0,19,0,20,3,5,3,15,0,0,0,0,0,3,0,3,8,253,49,313
SSC70141,0,13,0,18,0,32,4,39,0,10,4,14,0,11,0,15,0,18,3,29,0,16,0,16,0,13,3,16,0,7,3,14,0,0,0,3,0,3,0,3,0,0,0,0,3,132,23,164,0,23,0,23,0,23,0,23,0,12,0,8,0,21,3,23,0,23,3,32,3,13,0,20,0,25,0,27,0,8,0,8,0,7,0,7,0,0,0,3,0,0,0,0,5,155,15,172,0,38,0,38,0,56,5,61,0,17,3,21,0,31,3,37,0,48,11,56,3,32,0,33,4,35,5,43,0,20,3,25,3,4,0,13,0,7,0,6,0,0,0,0,9,291,33,334
SSC70142,0,4,4,10,0,15,7,25,0,8,17,25,0,10,0,15,0,22,0,24,3,23,10,33,3,26,4,28,0,12,6,24,0,0,0,3,0,0,0,3,0,0,0,0,7,130,55,196,0,10,4,14,0,22,0,22,0,14,13,24,0,18,3,21,0,24,8,30,0,27,4,31,0,18,3,24,0,11,0,9,3,10,3,16,4,3,0,8,0,0,0,0,9,151,42,204,0,15,9,21,0,42,9,50,0,21,30,54,0,35,3,39,0,50,11,59,3,49,20,65,3,44,7,53,3,23,6,35,8,13,3,18,9,3,3,11,0,0,0,0,24,283,94,394
SSC70143,0,159,30,186,21,318,45,384,10,167,24,203,3,152,20,170,4,299,54,361,7,304,44,351,11,258,39,307,9,251,40,299,21,95,14,135,7,19,0,28,3,5,0,11,103,2031,299,2427,0,161,29,193,11,328,53,394,4,153,17,172,0,125,23,146,7,354,58,421,5,319,43,368,7,286,42,341,15,246,34,300,19,85,15,113,15,25,3,47,11,3,6,13,110,2078,333,2518,5,317,61,378,29,648,96,770,13,315,41,373,5,274,37,323,13,655,110,781,13,619,86,717,20,552,81,654,29,494,72,592,43,178,26,247,23,43,6,79,11,9,9,27,207,4107,630,4944
SSC70144,0,36,10,51,0,70,7,81,0,22,9,27,0,37,17,51,0,116,45,153,0,65,14,80,0,75,29,101,8,73,15,95,4,47,12,62,3,13,8,26,3,4,0,6,26,559,161,748,0,35,6,43,3,71,9,86,0,24,10,37,3,48,20,70,0,106,34,140,3,67,11,82,3,95,33,131,7,74,13,91,3,21,4,27,8,9,8,24,4,3,3,9,39,558,151,743,0,72,21,92,6,136,18,165,0,52,11,63,3,90,31,119,0,218,80,300,5,136,29,165,6,167,58,233,10,146,31,187,10,66,14,94,16,20,15,45,12,3,8,20,65,1113,311,1488
SSC70145,0,141,34,180,5,220,40,267,8,107,29,142,4,74,18,93,4,208,54,265,0,168,34,209,3,165,41,210,10,88,27,123,12,58,15,87,3,21,4,28,0,0,0,3,47,1257,299,1603,0,112,18,129,8,180,49,235,0,78,20,102,0,77,20,89,4,235,56,295,5,177,40,227,8,135,44,187,11,104,29,145,8,47,14,74,6,11,3,18,0,3,0,3,47,1168,290,1503,0,253,57,309,12,400,86,499,3,188,45,239,4,148,35,183,12,446,111,560,3,345,80,429,9,307,90,405,20,194,57,266,18,106,31,153,10,31,10,47,0,3,3,5,89,2428,593,3114
SSC70146,0,44,13,56,0,60,21,86,0,26,12,40,6,30,12,41,5,88,33,130,0,56,15,78,10,66,23,97,0,89,46,136,12,45,15,75,0,14,12,22,0,0,8,9,34,521,215,768,0,40,12,49,0,55,19,72,0,30,6,37,3,36,10,54,0,101,39,142,0,81,28,114,11,84,34,120,9,54,22,83,0,33,9,41,3,5,6,16,0,0,3,3,21,517,194,736,0,84,26,112,0,112,43,159,0,54,16,73,5,66,27,100,5,189,78,270,5,143,47,191,14,146,55,219,9,147,66,214,11,82,25,115,3,20,22,39,0,0,7,6,48,1037,406,1495
SSC70147,0,12,0,12,0,7,3,16,0,5,0,4,0,9,0,16,0,12,0,10,0,7,0,11,3,14,0,17,10,6,3,18,16,11,0,25,17,6,3,25,7,3,0,9,51,81,17,147,0,10,0,8,0,14,3,15,0,3,0,5,0,8,0,8,0,13,0,18,0,15,0,16,3,9,0,18,14,3,0,16,21,9,0,33,31,5,3,38,21,3,3,31,89,94,17,200,0,14,0,19,0,23,3,29,0,8,3,9,0,15,0,23,0,28,7,34,0,23,3,22,8,26,4,31,18,9,3,30,38,19,0,56,44,9,8,65,30,8,3,42,140,180,35,349
SSC70148,0,22,0,20,0,31,3,36,0,17,0,13,0,16,0,16,0,22,3,22,0,21,4,22,0,13,12,22,0,14,0,13,3,6,0,7,0,0,0,0,0,0,0,0,7,155,24,182,0,5,0,11,0,36,3,44,0,17,0,22,0,18,0,22,0,37,3,39,0,33,7,37,0,16,4,23,6,17,6,32,3,8,0,9,3,0,0,3,0,0,0,0,13,186,31,225,0,25,3,30,0,64,10,77,0,33,3,37,0,36,0,35,0,53,9,66,0,52,4,58,0,33,16,45,5,32,9,41,8,9,0,15,0,0,0,4,0,0,0,0,21,339,47,410
